date,FHFA House Price Index for Connecticut
01/01/1975,62.21
04/01/1975,62.72
07/01/1975,61.8
10/01/1975,61.81
01/01/1976,64.74
04/01/1976,64.11
07/01/1976,67.19
10/01/1976,67.9
01/01/1977,63.99
04/01/1977,68.53
07/01/1977,71.47
10/01/1977,72.25
01/01/1978,73.68
04/01/1978,79.45
07/01/1978,86.94
10/01/1978,88.08
01/01/1979,95.3
04/01/1979,97.38
07/01/1979,100.39
10/01/1979,101.7
01/01/1980,100
04/01/1980,101.51
07/01/1980,103.67
10/01/1980,104.72
01/01/1981,103.84
04/01/1981,109.6
07/01/1981,114.17
10/01/1981,111.33
01/01/1982,111.67
04/01/1982,112.08
07/01/1982,110.96
10/01/1982,112.84
01/01/1983,118.59
04/01/1983,120.95
07/01/1983,122.36
10/01/1983,126.1
01/01/1984,130.98
04/01/1984,134.45
07/01/1984,140.16
10/01/1984,141.64
01/01/1985,148.23
04/01/1985,155.31
07/01/1985,159.88
10/01/1985,168.65
01/01/1986,174.36
04/01/1986,185.18
07/01/1986,199.16
10/01/1986,212.47
01/01/1987,224.68
04/01/1987,237.08
07/01/1987,249.87
10/01/1987,257.22
01/01/1988,263.07
04/01/1988,267.27
07/01/1988,265.51
10/01/1988,266.04
01/01/1989,261.38
04/01/1989,261.22
07/01/1989,262.08
10/01/1989,261.03
01/01/1990,257.17
04/01/1990,249.33
07/01/1990,246.76
10/01/1990,240.07
01/01/1991,239.64
04/01/1991,236.26
07/01/1991,233.55
10/01/1991,235.84
01/01/1992,236.85
04/01/1992,232.18
07/01/1992,233.02
10/01/1992,232.82
01/01/1993,229.21
04/01/1993,229.83
07/01/1993,229.8
10/01/1993,230.41
01/01/1994,228.44
04/01/1994,223.29
07/01/1994,220.35
10/01/1994,217.58
01/01/1995,216.39
04/01/1995,219.18
07/01/1995,224.48
10/01/1995,224.73
01/01/1996,227.67
04/01/1996,224.79
07/01/1996,221.54
10/01/1996,222.89
01/01/1997,224.19
04/01/1997,225.26
07/01/1997,227.82
10/01/1997,230.12
01/01/1998,235.6
04/01/1998,235.7
07/01/1998,239.18
10/01/1998,242.28
01/01/1999,245.54
04/01/1999,248.56
07/01/1999,253.33
10/01/1999,256.38
01/01/2000,261.13
04/01/2000,268.25
07/01/2000,274.03
10/01/2000,277.8
01/01/2001,284.67
04/01/2001,290.78
07/01/2001,297.92
10/01/2001,303.11
01/01/2002,309.59
04/01/2002,318.45
07/01/2002,327.13
10/01/2002,334.01
01/01/2003,338.23
04/01/2003,343.8
07/01/2003,352.02
10/01/2003,364.9
01/01/2004,371.22
04/01/2004,383.29
07/01/2004,402.68
10/01/2004,410.46
01/01/2005,420.89
04/01/2005,434.93
07/01/2005,447.07
10/01/2005,456.07
01/01/2006,461.99
04/01/2006,464.3
07/01/2006,464.72
10/01/2006,467.5
01/01/2007,470.55
04/01/2007,466.86
07/01/2007,463.13
10/01/2007,462.35
01/01/2008,461.89
04/01/2008,450.99
07/01/2008,437.09
10/01/2008,433.39
01/01/2009,436.81
04/01/2009,422.66
07/01/2009,411.97
10/01/2009,410.63
01/01/2010,405.82
04/01/2010,401.41
07/01/2010,405.89
10/01/2010,406.54
01/01/2011,396.12
04/01/2011,388.78
07/01/2011,389.93
10/01/2011,393
01/01/2012,386.43
04/01/2012,382.44
07/01/2012,383.49
10/01/2012,384.79
01/01/2013,382.93
04/01/2013,381.21
07/01/2013,380.74
10/01/2013,377.65
01/01/2014,376.3
04/01/2014,379.33
07/01/2014,381.93
10/01/2014,381.6
01/01/2015,386.44
04/01/2015,387.62
07/01/2015,385.32
10/01/2015,384.72
01/01/2016,385
04/01/2016,386.84
07/01/2016,390.29
10/01/2016,390.48
01/01/2017,385.06
04/01/2017,390.49
07/01/2017,392.94
10/01/2017,392.79
01/01/2018,391.19
04/01/2018,394.13
07/01/2018,397.74
10/01/2018,395.74
01/01/2019,397.87
04/01/2019,404.25
07/01/2019,408.75
10/01/2019,411.22
01/01/2020,412.81
04/01/2020,417.13
07/01/2020,426.28
10/01/2020,437.88
01/01/2021,449.46
04/01/2021,472.42
07/01/2021,498.16
10/01/2021,508.61
01/01/2022,522.27
04/01/2022,555.13
07/01/2022,565.42
10/01/2022,564.51
01/01/2023,571.32
04/01/2023,599.74
